name,precision,size[y,x]
layers.23.adaln_modulation.weight,F8_E4M3,18432x512
layers.23.adaln_modulation.weight_scale,F32,18432
layers.23.attention.norm_k.weight,BF16,256
layers.23.attention.norm_q.weight,BF16,256
layers.23.attention.o.weight,F8_E4M3,4608x4608
layers.23.attention.o.weight_scale,F32,4608
layers.23.attention.qkv.weight,F8_E4M3,13824x4608
layers.23.attention.qkv.weight_scale,F32,13824
layers.23.attention_norm1.weight,BF16,4608
layers.23.attention_norm2.weight,BF16,4608
layers.23.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.23.feed_forward.w1.weight_scale,F32,12288
layers.23.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.23.feed_forward.w2.weight_scale,F32,4608
layers.23.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.23.feed_forward.w3.weight_scale,F32,12288
layers.23.ffn_norm1.weight,BF16,4608
layers.23.ffn_norm2.weight,BF16,4608
layers.24.adaln_modulation.bias,BF16,18432
layers.24.adaln_modulation.weight,F8_E4M3,18432x512
layers.24.adaln_modulation.weight_scale,F32,18432
layers.24.attention.norm_k.weight,BF16,256
layers.24.attention.norm_q.weight,BF16,256
layers.24.attention.o.weight,F8_E4M3,4608x4608
layers.24.attention.o.weight_scale,F32,4608
layers.24.attention.qkv.weight,F8_E4M3,13824x4608
layers.24.attention.qkv.weight_scale,F32,13824
layers.24.attention_norm1.weight,BF16,4608
layers.24.attention_norm2.weight,BF16,4608
layers.24.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.24.feed_forward.w1.weight_scale,F32,12288
layers.24.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.24.feed_forward.w2.weight_scale,F32,4608
layers.24.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.24.feed_forward.w3.weight_scale,F32,12288
layers.24.ffn_norm1.weight,BF16,4608
layers.24.ffn_norm2.weight,BF16,4608
layers.25.adaln_modulation.bias,BF16,18432
layers.25.adaln_modulation.weight,F8_E4M3,18432x512
layers.25.adaln_modulation.weight_scale,F32,18432
layers.25.attention.norm_k.weight,BF16,256
layers.25.attention.norm_q.weight,BF16,256
layers.25.attention.o.weight,F8_E4M3,4608x4608
layers.25.attention.o.weight_scale,F32,4608
layers.25.attention.qkv.weight,F8_E4M3,13824x4608
layers.25.attention.qkv.weight_scale,F32,13824
layers.25.attention_norm1.weight,BF16,4608
layers.25.attention_norm2.weight,BF16,4608
layers.25.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.25.feed_forward.w1.weight_scale,F32,12288
layers.25.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.25.feed_forward.w2.weight_scale,F32,4608
layers.25.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.25.feed_forward.w3.weight_scale,F32,12288
layers.25.ffn_norm1.weight,BF16,4608
layers.25.ffn_norm2.weight,BF16,4608
layers.26.adaln_modulation.bias,BF16,18432
layers.26.adaln_modulation.weight,F8_E4M3,18432x512
layers.26.adaln_modulation.weight_scale,F32,18432
layers.26.attention.norm_k.weight,BF16,256
layers.26.attention.norm_q.weight,BF16,256
layers.26.attention.o.weight,F8_E4M3,4608x4608
layers.26.attention.o.weight_scale,F32,4608
layers.26.attention.qkv.weight,F8_E4M3,13824x4608
layers.26.attention.qkv.weight_scale,F32,13824
layers.26.attention_norm1.weight,BF16,4608
layers.26.attention_norm2.weight,BF16,4608
layers.26.feed_forward.w1.weight,F8_E4M3,12288x4608
layers.26.feed_forward.w1.weight_scale,F32,12288
layers.26.feed_forward.w2.weight,F8_E4M3,4608x12288
layers.26.feed_forward.w2.weight_scale,F32,4608
layers.26.feed_forward.w3.weight,F8_E4M3,12288x4608
layers.26.feed_forward.w3.weight_scale,F32,12288
layers.26.ffn_norm1.weight,BF16,4608
layers.26.ffn_norm2.weight,BF16,4608
layers.27.adaln_modulation.bias,BF16,18432
layers.27.adaln_modulation.weight,F8_E4M3,18432x512
layers.27.adaln_modulation.weight_scale,F32,18432
layers.27.attention.norm_k.weight,BF16,256
