name,precision,"size[y,x]"
transformer_blocks.2.attn.to_q.weight,BF16,"[3072, 3072]"
transformer_blocks.2.attn.to_v.weight,BF16,"[3072, 3072]"
transformer_blocks.2.ff.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.2.ff.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.2.ff_context.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.2.ff_context.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.3.attn.add_k_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.3.attn.add_q_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.3.attn.add_v_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.3.attn.norm_added_k.weight,BF16,[128]
transformer_blocks.3.attn.norm_added_q.weight,BF16,[128]
transformer_blocks.3.attn.norm_k.weight,BF16,[128]
transformer_blocks.3.attn.norm_q.weight,BF16,[128]
transformer_blocks.3.attn.to_add_out.weight,BF16,"[3072, 3072]"
transformer_blocks.3.attn.to_k.weight,BF16,"[3072, 3072]"
transformer_blocks.3.attn.to_out.0.weight,BF16,"[3072, 3072]"
transformer_blocks.3.attn.to_q.weight,BF16,"[3072, 3072]"
transformer_blocks.3.attn.to_v.weight,BF16,"[3072, 3072]"
transformer_blocks.3.ff.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.3.ff.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.3.ff_context.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.3.ff_context.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.4.attn.add_k_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.4.attn.add_q_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.4.attn.add_v_proj.weight,BF16,"[3072, 3072]"
transformer_blocks.4.attn.norm_added_k.weight,BF16,[128]
transformer_blocks.4.attn.norm_added_q.weight,BF16,[128]
transformer_blocks.4.attn.norm_k.weight,BF16,[128]
transformer_blocks.4.attn.norm_q.weight,BF16,[128]
transformer_blocks.4.attn.to_add_out.weight,BF16,"[3072, 3072]"
transformer_blocks.4.attn.to_k.weight,BF16,"[3072, 3072]"
transformer_blocks.4.attn.to_out.0.weight,BF16,"[3072, 3072]"
transformer_blocks.4.attn.to_q.weight,BF16,"[3072, 3072]"
transformer_blocks.4.attn.to_v.weight,BF16,"[3072, 3072]"
transformer_blocks.4.ff.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.4.ff.linear_out.weight,BF16,"[3072, 9216]"
transformer_blocks.4.ff_context.linear_in.weight,BF16,"[18432, 3072]"
transformer_blocks.4.ff_context.linear_out.weight,BF16,"[3072, 9216]"
x_embedder.weight,BF16,"[3072, 128]"
