name,precision,"size[y,x]"
net.blocks.18.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.18.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.18.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.18.self_attn.k_norm.weight,BF16,[128]
net.blocks.18.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.18.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.18.self_attn.q_norm.weight,BF16,[128]
net.blocks.18.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.18.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.19.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.19.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.19.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.19.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.19.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.19.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.19.cross_attn.k_norm.weight,BF16,[128]
net.blocks.19.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.19.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.19.cross_attn.q_norm.weight,BF16,[128]
net.blocks.19.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.19.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.19.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.19.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.19.self_attn.k_norm.weight,BF16,[128]
net.blocks.19.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.19.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.19.self_attn.q_norm.weight,BF16,[128]
net.blocks.19.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.19.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.2.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.2.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.2.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.2.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.2.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.2.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.2.cross_attn.k_norm.weight,BF16,[128]
net.blocks.2.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.2.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.2.cross_attn.q_norm.weight,BF16,[128]
net.blocks.2.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.2.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.2.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.2.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.2.self_attn.k_norm.weight,BF16,[128]
net.blocks.2.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.2.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.2.self_attn.q_norm.weight,BF16,[128]
net.blocks.2.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.2.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.20.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.20.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.20.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.20.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.20.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.20.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.20.cross_attn.k_norm.weight,BF16,[128]
net.blocks.20.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.20.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.20.cross_attn.q_norm.weight,BF16,[128]
net.blocks.20.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.20.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.20.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.20.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.20.self_attn.k_norm.weight,BF16,[128]
net.blocks.20.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.20.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.20.self_attn.q_norm.weight,BF16,[128]
net.blocks.20.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.20.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.21.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.21.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.21.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.21.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.21.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.21.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.21.cross_attn.k_norm.weight,BF16,[128]
net.blocks.21.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.21.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.21.cross_attn.q_norm.weight,BF16,[128]
net.blocks.21.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.21.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.21.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.21.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.21.self_attn.k_norm.weight,BF16,[128]
net.blocks.21.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.21.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.21.self_attn.q_norm.weight,BF16,[128]
net.blocks.21.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.21.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.22.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.22.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.22.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.22.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.22.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.22.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.22.cross_attn.k_norm.weight,BF16,[128]
net.blocks.22.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.22.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.22.cross_attn.q_norm.weight,BF16,[128]
net.blocks.22.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.22.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.22.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.22.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.22.self_attn.k_norm.weight,BF16,[128]
net.blocks.22.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.22.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.22.self_attn.q_norm.weight,BF16,[128]
net.blocks.22.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.22.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.23.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.23.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.23.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.23.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.23.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.23.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.23.cross_attn.k_norm.weight,BF16,[128]
net.blocks.23.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.23.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.23.cross_attn.q_norm.weight,BF16,[128]
net.blocks.23.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.23.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.23.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.23.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.23.self_attn.k_norm.weight,BF16,[128]
net.blocks.23.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.23.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.23.self_attn.q_norm.weight,BF16,[128]
net.blocks.23.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.23.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.24.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.24.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.24.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.24.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.24.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.24.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.24.cross_attn.k_norm.weight,BF16,[128]
net.blocks.24.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.24.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.24.cross_attn.q_norm.weight,BF16,[128]
net.blocks.24.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.24.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.24.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.24.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.24.self_attn.k_norm.weight,BF16,[128]
net.blocks.24.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.24.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.24.self_attn.q_norm.weight,BF16,[128]
net.blocks.24.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.24.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.25.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.25.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.25.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.25.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.25.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.25.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.25.cross_attn.k_norm.weight,BF16,[128]
net.blocks.25.cross_attn.k_proj.weight,BF16,"[2048, 1024]"
net.blocks.25.cross_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.25.cross_attn.q_norm.weight,BF16,[128]
net.blocks.25.cross_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.25.cross_attn.v_proj.weight,BF16,"[2048, 1024]"
net.blocks.25.mlp.layer1.weight,BF16,"[8192, 2048]"
net.blocks.25.mlp.layer2.weight,BF16,"[2048, 8192]"
net.blocks.25.self_attn.k_norm.weight,BF16,[128]
net.blocks.25.self_attn.k_proj.weight,BF16,"[2048, 2048]"
net.blocks.25.self_attn.output_proj.weight,BF16,"[2048, 2048]"
net.blocks.25.self_attn.q_norm.weight,BF16,[128]
net.blocks.25.self_attn.q_proj.weight,BF16,"[2048, 2048]"
net.blocks.25.self_attn.v_proj.weight,BF16,"[2048, 2048]"
net.blocks.26.adaln_modulation_cross_attn.1.weight,BF16,"[256, 2048]"
net.blocks.26.adaln_modulation_cross_attn.2.weight,BF16,"[6144, 256]"
net.blocks.26.adaln_modulation_mlp.1.weight,BF16,"[256, 2048]"
net.blocks.26.adaln_modulation_mlp.2.weight,BF16,"[6144, 256]"
net.blocks.26.adaln_modulation_self_attn.1.weight,BF16,"[256, 2048]"
net.blocks.26.adaln_modulation_self_attn.2.weight,BF16,"[6144, 256]"
net.blocks.26.cross_attn.k_norm.weight,BF16,[128]
