name,precision,"size[y,x]"
transformer_blocks.12.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.12.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.12.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.12.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.12.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.12.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.12.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.12.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.12.norm1.weight,F32,[6144]
transformer_blocks.12.norm2.weight,F32,[6144]
transformer_blocks.12.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.13.attn.norm_k.weight,F32,[128]
transformer_blocks.13.attn.norm_q.weight,F32,[128]
transformer_blocks.13.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.13.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.13.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.13.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.13.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.13.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.13.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.13.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.13.norm1.weight,F32,[6144]
transformer_blocks.13.norm2.weight,F32,[6144]
transformer_blocks.13.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.14.attn.norm_k.weight,F32,[128]
transformer_blocks.14.attn.norm_q.weight,F32,[128]
transformer_blocks.14.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.14.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.14.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.14.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.14.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.14.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.14.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.14.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.14.norm1.weight,F32,[6144]
transformer_blocks.14.norm2.weight,F32,[6144]
transformer_blocks.14.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.15.attn.norm_k.weight,F32,[128]
transformer_blocks.15.attn.norm_q.weight,F32,[128]
transformer_blocks.15.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.15.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.15.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.15.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.15.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.15.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.15.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.15.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.15.norm1.weight,F32,[6144]
transformer_blocks.15.norm2.weight,F32,[6144]
transformer_blocks.15.scale_shift_table,F32,"[6, 6144]"
transformer_blocks.16.attn.norm_k.weight,F32,[128]
transformer_blocks.16.attn.norm_q.weight,F32,[128]
transformer_blocks.16.attn.to_gate.weight,BF16,"[6144, 6144]"
transformer_blocks.16.attn.to_k.weight,BF16,"[1536, 6144]"
transformer_blocks.16.attn.to_out.0.weight,BF16,"[6144, 6144]"
transformer_blocks.16.attn.to_q.weight,BF16,"[6144, 6144]"
transformer_blocks.16.attn.to_v.weight,BF16,"[1536, 6144]"
transformer_blocks.16.ff.down.weight,BF16,"[6144, 16384]"
transformer_blocks.16.ff.gate.weight,BF16,"[16384, 6144]"
transformer_blocks.16.ff.up.weight,BF16,"[16384, 6144]"
transformer_blocks.16.norm1.weight,F32,[6144]
transformer_blocks.16.norm2.weight,F32,[6144]
transformer_blocks.16.scale_shift_table,F32,"[6, 6144]"
